"group" "nodes" "species" "mean_edge" "links" "triplet" "DEG" "density" "tdensity"
44320 2831 491 519.915604497337 298132 7670104 "1" 0.0372119379959135 0.00203045444743898
44388 3 3 185.666666666667 3 0 "1" 0.5 0
44563 4 3 607.333333333333 12 4 "1" 1 1
44741 2351 488 418.774361518329 292295 9921426 "1" 0.0529055087468438 0.00458692711859829
44912 3 3 263.833333333333 6 1 "1" 1 1
44970 585 357 582.48521241065 128148 8069836 "1" 0.375096592904812 0.243096491687859
45587 289 285 308.439773931473 28310 543810 "1" 0.340133602460592 0.136592298325356
45883 11 11 1153.39393939394 66 53 "1" 0.6 0.321212121212121
47386 517 487 562.817058922799 154066 7906736 "1" 0.577519379844961 0.34530352743676
47568 3 3 258.666666666667 6 1 "1" 1 1
47668 530 486 708.197087998584 158173 10639883 "1" 0.56415807682705 0.431243575859173
48586 3 3 589.833333333333 6 1 "1" 1 1
48858 227 224 1906.59404374128 10745 104122 "1" 0.209446025496082 0.0541223863916936
49204 711 468 628.291543902123 131349 5516549 "1" 0.260194924823201 0.0924793025648969
49270 666 487 543.185334554378 170346 10728464 "1" 0.384623721465827 0.218889457443674
49293 494 480 354.769551018006 135952 8367467 "1" 0.558228149559419 0.418992537171432
49533 2618 491 299.267759176561 650734 45830275 "1" 0.0949795557226608 0.0153423755460678
49596 1192 457 708.245569864235 166022 6152564 "1" 0.116943913805442 0.0218510550975415
49792 3 3 964.5 6 1 "1" 1 1
50063 3027 491 595.910948883536 338345 12694352 "1" 0.0369384287829451 0.00274887545468182
50071 1117 486 677.83992732924 182742 6383725 "1" 0.146595623838816 0.0275570792606217
50328 2117 485 346.24233394485 282903 13691010 "1" 0.0631540245362727 0.00867041420047519
50440 1977 490 646.759557356927 156424 3163459 "1" 0.0400414483155478 0.00246009994348735
50643 3279 491 629.785527284246 429332 18136498 "1" 0.0399432035652769 0.00308942655676529
50783 25 25 715.762096774194 496 1506 "1" 0.826666666666667 0.654782608695652
51930 5 5 983.5 20 10 "1" 1 1
52446 27 24 677.735294117647 204 274 "1" 0.290598290598291 0.0936752136752137
52718 37 34 416.571428571429 189 172 "1" 0.141891891891892 0.0221364221364221
53072 4 3 414.333333333333 12 4 "1" 1 1
53381 481 451 579.190693918121 80485 2900960 "1" 0.348601004851005 0.157387835884704
53847 3 3 591.666666666667 6 1 "1" 1 1
53972 969 468 318.857116873668 192430 11263825 "1" 0.205151003420072 0.0745094806716996
54349 804 479 519.978689534091 152648 8766085 "1" 0.236439223558422 0.101580644863743
54462 4 4 287 9 2 "1" 0.75 0.5
54551 2135 491 676.94320122609 444992 24688468 "1" 0.0976697124069103 0.0152427119240185
54733 522 458 952.180050045496 35168 543126 "1" 0.129312183319728 0.0230430665370105
54795 28 27 656.989130434783 460 1240 "1" 0.608465608465608 0.378510378510378
55093 285 281 726.672238573888 18007 196762 "1" 0.222473437113912 0.0515398135511975
55220 3 3 242.4 5 1 "1" 0.833333333333333 1
55543 804 470 359.952049871187 157205 5631308 "1" 0.243497642546917 0.0652551165162501
55834 3 3 85.3333333333333 6 1 "1" 1 1
56017 3178 491 660.059149578866 539615 24495973 "1" 0.0534457167657802 0.00458346947727121
56054 27 3 256.979057591623 191 247 "1" 0.272079772079772 0.0844444444444444
56223 3 3 508.8 5 1 "1" 0.833333333333333 1
