"group" "mean_edge" "links" "triplet" "nodes" "cc" "Edensity" "Tdensity" "species" "persp"
383 57.3333333333333 2 0 3 0 0.666666666666667 0 2 1.5
389 556 3 0 4 0 0.5 0 3 1.33333333333333
399 760 2 0 3 0 0.666666666666667 0 3 1
405 1161.33333333333 2 0 3 0 0.666666666666667 0 2 1.5
408 506 4 0 5 0 0.4 0 3 1.66666666666667
412 1724 3 0 4 0 0.5 0 3 1.33333333333333
416 1673.33333333333 3 1 3 1 1 1 3 1
420 6649 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
425 526.5 3 0 4 0 0.5 0 2 2
427 355 3 0 4 0 0.5 0 3 1.33333333333333
451 522 2 0 3 0 0.666666666666667 0 2 1.5
453 149.6 5 0 5 0 0.5 0 3 1.66666666666667
456 787.333333333333 2 0 3 0 0.666666666666667 0 3 1
458 237.333333333333 2 0 3 0 0.666666666666667 0 3 1
481 1560.66666666667 2 0 3 0 0.666666666666667 0 2 1.5
525 3363 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
529 220.6 13 0 10 0 0.288888888888889 0 3 3.33333333333333
531 1612.66666666667 2 0 3 0 0.666666666666667 0 3 1
542 821.333333333333 2 0 3 0 0.666666666666667 0 3 1
556 1461.33333333333 2 0 3 0 0.666666666666667 0 3 1
557 1744.5 4 0 4 0 0.666666666666667 0 2 2
569 691 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
576 70.6666666666667 2 0 3 0 0.666666666666667 0 3 1
587 9394.5 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
593 1000 3 0 4 0 0.5 0 3 1.33333333333333
594 762.666666666667 2 0 3 0 0.666666666666667 0 3 1
599 1026 2 0 3 0 0.666666666666667 0 2 1.5
603 1633.33333333333 2 0 3 0 0.666666666666667 0 3 1
617 1713 16 5 10 0.32 0.355555555555556 0.0416666666666667 3 3.33333333333333
622 340.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
629 835.2 5 0 5 0 0.5 0 3 1.66666666666667
631 1655.73333333333 65 0 30 0 0.149425287356322 0 2 15
643 2288.66666666667 2 0 3 0 0.666666666666667 0 3 1
689 119.5 3 0 4 0 0.5 0 3 1.33333333333333
699 142.666666666667 16 2 15 0.222222222222222 0.152380952380952 0.0043956043956044 3 5
707 941.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
716 1288.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
721 367.333333333333 2 0 3 0 0.666666666666667 0 3 1
733 2011.06666666667 25 8 15 0.450793650793651 0.238095238095238 0.0175824175824176 3 5
735 1427.33333333333 2 0 3 0 0.666666666666667 0 2 1.5
753 84.6666666666667 2 0 3 0 0.666666666666667 0 3 1
766 1237.33333333333 3 1 3 1 1 1 3 1
769 1274 3 0 4 0 0.5 0 2 2
772 497.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
777 235.5 3 0 4 0 0.5 0 3 1.33333333333333
781 67.3333333333333 2 0 3 0 0.666666666666667 0 3 1
782 2251.5 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
790 957.142857142857 6 0 7 0 0.285714285714286 0 3 2.33333333333333
797 60 3 0 4 0 0.5 0 2 2
830 429.333333333333 2 0 3 0 0.666666666666667 0 3 1
831 707.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
833 449.333333333333 6 1 6 0.277777777777778 0.4 0.05 3 2
836 244 2 0 3 0 0.666666666666667 0 2 1.5
838 435 5 0 6 0 0.333333333333333 0 2 3
841 446.666666666667 2 0 3 0 0.666666666666667 0 3 1
843 86 2 0 3 0 0.666666666666667 0 2 1.5
849 721.333333333333 2 0 3 0 0.666666666666667 0 3 1
858 56 2 0 3 0 0.666666666666667 0 2 1.5
862 1056 2 0 3 0 0.666666666666667 0 2 1.5
864 3444 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
869 578 2 0 3 0 0.666666666666667 0 2 1.5
879 825 4 0 4 0 0.666666666666667 0 3 1.33333333333333
887 611.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
903 2206.66666666667 2 0 3 0 0.666666666666667 0 2 1.5
906 1381.33333333333 2 0 3 0 0.666666666666667 0 2 1.5
919 641 3 0 4 0 0.5 0 3 1.33333333333333
923 1181 3 0 4 0 0.5 0 2 2
931 248 2 0 3 0 0.666666666666667 0 3 1
951 932 2 0 3 0 0.666666666666667 0 2 1.5
953 587.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
959 1005.6 4 0 5 0 0.4 0 3 1.66666666666667
965 1052 3 1 3 1 1 1 3 1
972 984 3 0 4 0 0.5 0 3 1.33333333333333
974 772.666666666667 2 0 3 0 0.666666666666667 0 3 1
980 2894.4 6 0 5 0 0.6 0 3 1.66666666666667
989 848 2 0 3 0 0.666666666666667 0 2 1.5
991 439 3 0 4 0 0.5 0 3 1.33333333333333
995 1249.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
1007 304.666666666667 3 1 3 1 1 1 3 1
1012 168 2 0 3 0 0.666666666666667 0 2 1.5
1014 2939.33333333333 3 1 3 1 1 1 3 1
1017 939.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
1043 753.5 3 0 4 0 0.5 0 3 1.33333333333333
1044 233.333333333333 2 0 3 0 0.666666666666667 0 3 1
1045 301.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
1065 866 2 0 3 0 0.666666666666667 0 2 1.5
1080 1155.66666666667 7 2 6 0.444444444444444 0.466666666666667 0.1 3 2
1082 1354 2 0 3 0 0.666666666666667 0 3 1
1092 514.666666666667 2 0 3 0 0.666666666666667 0 3 1
1104 966.666666666667 3 1 3 1 1 1 3 1
1113 277.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
1116 446 6 2 5 0.6 0.6 0.2 3 1.66666666666667
1128 772.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
1132 334 2 0 3 0 0.666666666666667 0 2 1.5
1137 211.333333333333 6 0 6 0 0.4 0 3 2
1138 997 3 0 4 0 0.5 0 3 1.33333333333333
1149 1237.5 3 0 4 0 0.5 0 2 2
1156 758.142857142857 17 2 14 0.14484126984127 0.186813186813187 0.00549450549450549 3 4.66666666666667
1165 608.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
1178 397.6 4 0 5 0 0.4 0 3 1.66666666666667
1182 1069 3 0 4 0 0.5 0 2 2
1191 858 2 0 3 0 0.666666666666667 0 2 1.5
1193 950 2 0 3 0 0.666666666666667 0 3 1
1211 2863 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
1216 185.5 3 0 4 0 0.5 0 3 1.33333333333333
1247 655.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
1249 283 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
1260 345.333333333333 5 0 6 0 0.333333333333333 0 3 2
1300 978 3 0 4 0 0.5 0 3 1.33333333333333
1301 264 2 0 3 0 0.666666666666667 0 3 1
1310 499.5 3 0 4 0 0.5 0 3 1.33333333333333
1315 762.333333333333 14 3 12 0.298611111111111 0.212121212121212 0.0136363636363636 3 4
1317 584.8 4 0 5 0 0.4 0 3 1.66666666666667
1319 60.6666666666667 2 0 3 0 0.666666666666667 0 2 1.5
1331 334 2 0 3 0 0.666666666666667 0 3 1
1332 1285 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
1359 742.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
1367 750.666666666667 3 1 3 1 1 1 3 1
1373 484.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
1396 3281.55555555556 9 0 9 0 0.25 0 2 4.5
1406 267.333333333333 2 0 3 0 0.666666666666667 0 3 1
1407 317 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
1412 780.4 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
1419 364 2 0 3 0 0.666666666666667 0 3 1
1425 350.659793814433 594 0 194 0 0.0317290743015865 0 2 97
1438 345.333333333333 2 0 3 0 0.666666666666667 0 3 1
1444 416 2 0 3 0 0.666666666666667 0 3 1
1449 2633.33333333333 3 1 3 1 1 1 3 1
1460 3157.33333333333 2 0 3 0 0.666666666666667 0 2 1.5
1469 894 2 0 3 0 0.666666666666667 0 3 1
1481 140 2 0 3 0 0.666666666666667 0 2 1.5
