"inDEG" "group" "links" "triplet" "mean_edge" "nodes" "species"
"NO" "1187" 6 4 230.666666666667 4 3
"NO" "1188" 3 1 268.333333333333 3 1
"YES" "1189" 9 7 114.666666666667 5 5
"NO" "119" 34 71 179.176470588235 9 3
"YES" "1190" 56 110 203.553571428571 15 5
"NO" "1191" 87 238 267.83908045977 21 1
"NO" "1192" 6 4 97.6666666666667 4 4
"NO" "1193" 1 0 49 2 2
"NO" "1194" 2 0 112 3 3
"NO" "1195" 10 10 707.3 5 4
"NO" "1196" 151 620 69.0794701986755 20 2
"NO" "1197" 101 275 132.019801980198 18 5
"NO" "1198" 10 10 1151.6 5 5
"NO" "1199" 10 10 120.5 5 5
"NO" "12" 10 10 165.7 5 5
"NO" "120" 45 120 205.866666666667 10 1
"YES" "1200" 3772 56542 99.0400318133616 170 5
"NO" "1201" 1 0 140 2 2
"YES" "1202" 12 11 147.5 6 5
"NO" "1203" 3 1 153.666666666667 3 3
"NO" "1204" 2 0 81.5 3 2
"NO" "1205" 218 537 93.9908256880734 38 5
"NO" "1206" 759 4983 178.04743083004 79 5
"NO" "1207" 1 0 96 2 1
"NO" "1208" 21 35 243.190476190476 7 4
"NO" "1209" 33 50 323 10 4
"NO" "121" 66 220 484.80303030303 12 3
"YES" "1210" 49 120 438.979591836735 10 5
"YES" "1211" 10 10 333.2 5 5
"NO" "1212" 16 14 591.0625 8 5
"NO" "1213" 10 10 373.6 5 5
"NO" "1214" 3 1 349 3 3
"NO" "1215" 1 0 68 2 2
"NO" "1216" 3 1 79 3 3
"NO" "1217" 73 241 353.013698630137 12 5
"NO" "1218" 2 0 160.5 3 3
"NO" "1219" 11 10 426.727272727273 6 5
"YES" "122" 312 1550 175.849358974359 39 5
"NO" "1220" 13 10 263.846153846154 5 5
"NO" "1221" 21 25 623.52380952381 8 5
"NO" "1222" 16 20 551.75 7 5
"NO" "1223" 6 4 194.333333333333 4 4
"YES" "1224" 2784 31500 207.817887931034 146 5
"NO" "1225" 3 1 264.666666666667 3 3
"NO" "1226" 213 1194 131.596244131455 26 5
"NO" "1227" 3 1 73 3 1
"NO" "1228" 14 13 63.5714285714286 7 3
"NO" "1229" 10 10 375 5 4
"NO" "123" 3 1 159 3 3
"NO" "1230" 56 130 513.178571428571 15 5
"NO" "1231" 6 4 199.166666666667 4 4
"NO" "1232" 28 33 263.428571428571 11 5
"NO" "1233" 10 10 105.6 5 5
"NO" "1234" 6 4 132.666666666667 4 4
"NO" "1235" 2460 31029 177.217073170732 115 5
"NO" "1236" 10 10 188.6 5 5
